Feature,Importance
TotalCharges_7611.85,0.00026738335343418117
TotalCharges_5769.75,0.0002672855303370535
Customers_3803-KMQFW,0.0002658205675861466
TotalCharges_1327.15,0.00026524904958479754
Customers_0137-UDEUO,0.0002652270607958624
TotalCharges_77.5,0.0002640617865581682
Customers_4255-DDUOU,0.0002639548894251935
Customers_1066-JKSGK,0.000262714775671542
TotalCharges_2587.7,0.00026266905311912443
Customers_9605-WGJVW,0.0002625183328015579
TotalCharges_3058.65,0.0002624691193686517
Customers_3148-BLQJT,0.0002624273843070606
TotalCharges_50.55,0.0002618304382969046
TotalCharges_6886.25,0.00026138598039764034
TotalCharges_294.45,0.00026106480008177604
Customers_2223-KAGMX,0.00026077866686938017
Customers_7359-SSBJK,0.0002607528330556553
TotalCharges_193.6,0.0002604696417284407
Customers_5510-BOIUJ,0.0002599218672309725
TotalCharges_91.7,0.00025981802798456604
Customers_5028-HTLJB,0.0002591494132653873
Customers_8559-CIZFV,0.0002586126104331636
Customers_4800-VHZKI,0.00025806501795605865
Customers_4322-RCYMT,0.0002577468181151093
Customers_2889-FPWRM,0.000257613718581217
TotalCharges_168.15,0.0002572672112688391
Customers_3192-NQECA,0.0002563304581332758
TotalCharges_1046.5,0.00025630242972663343
Customers_0378-XSZPU,0.00025628342521627343
Customers_4897-QSUYC,0.0002560892068199216
Customers_0203-HHYIJ,0.0002558560375145171
Customers_8073-IJDCM,0.0002551766398413556
TotalCharges_342.4,0.0002550760324935764
TotalCharges_5293.2,0.00025415726445352605
TotalCharges_3182.95,0.0002539251650311712
Customers_1114-CENIM,0.00025374266325600226
TotalCharges_7723.7,0.00025343453463133283
TotalCharges_2254.2,0.00025323843030134634
TotalCharges_7040.85,0.0002531857318231575
TotalCharges_4350.1,0.000253151536191627
Customers_4139-SUGLD,0.00025294318287983464
TotalCharges_5510.65,0.0002527317606231392
Customers_0917-EZOLA,0.0002526003157339214
TotalCharges_50.8,0.0002524929005154135
Customers_7465-ZZRVX,0.000252477955167166
TotalCharges_3160.55,0.00025244246295396056
TotalCharges_19.65,0.0002519528011471875
Customers_5294-CDGWY,0.00025162074752822577
Customers_2321-OMBXY,0.0002512565896015775
Customers_5143-WMWOG,0.0002509086068426283
TotalCharges_6579.05,0.0002505849819037854
TotalCharges_5293.95,0.00025036975835871834
Customers_5688-KZTSN,0.00025011099607803294
TotalCharges_2354.8,0.00024981531021782513
Customers_3948-XHGNA,0.0002496185124767396
TotalCharges_135,0.0002493896934465493
TotalCharges_245.2,0.00024927988347057766
